# fibro_muscle target signal | mode=proxy | n_pairs=1711
pair_id	score
BMPR2__ERBB4	0.5000
BMPR2__FGFR1	1.0000
BMPR2__FGFR2	1.0000
BMPR2__FGFR3	0.5000
BMPR2__FGFR4	1.0000
BMPR2__IGF1R	1.0000
BMPR2__IGF2R	0.5000
BMPR2__INSR	1.0000
BMPR2__NTRK1	0.5000
BMPR2__NTRK2	0.5000
BMPR2__NTRK3	0.5000
BMPR2__PDGFRA	0.0000
BMPR2__PDGFRB	0.0000
BMPR2__MET	1.0000
BMPR2__KIT	0.5000
BMPR2__FLT1	0.5000
BMPR2__KDR	0.5000
BMPR2__RET	0.5000
BMPR2__LEPR	0.5000
BMPR2__GHR	1.0000
AXL__BMPR2	0.5000
BMPR2__MERTK	0.5000
BMPR2__CSF1R	0.5000
BMPR2__IL6ST	0.5000
BMPR2__IL2RG	0.5000
BMPR2__OSMR	0.5000
BMPR2__LIFR	0.5000
BMPR2__IL6R	0.5000
BMPR2__IFNAR1	0.5000
BMPR2__IFNAR2	0.5000
BMPR2__TNFRSF1A	0.5000
BMPR2__TNFRSF1B	0.5000
BMPR2__DDR1	0.0000
BMPR2__DDR2	0.0000
BMPR2__ITGA7	1.0000
BMPR2__ITGB1	0.5000
BMPR2__ITGAV	0.0000
BMPR2__PLAUR	0.0000
BMPR2__CD44	0.5000
BMPR2__NOTCH1	1.0000
BMPR2__NOTCH2	1.0000
BMPR2__ROBO1	0.5000
BMPR2__ITGA1	0.5000
BMPR2__ITGA6	0.5000
BMPR2__CXCR4	0.5000
BMPR2__CD36	1.0000
ACVR2A__ACVR2B	1.0000
ACVR2A__TGFBR1	0.0000
ACVR2A__TGFBR2	0.0000
ACVR2A__TGFBR3	0.0000
ACVR2A__EGFR	0.5000
ACVR2A__ERBB2	1.0000
ACVR2A__ERBB3	0.5000
ACVR2A__ERBB4	0.5000
ACVR2A__FGFR1	1.0000
ACVR2A__FGFR2	1.0000
ACVR2A__FGFR3	0.5000
ACVR2A__FGFR4	1.0000
ACVR2A__IGF1R	1.0000
ACVR2A__IGF2R	0.5000
ACVR2A__INSR	1.0000
ACVR2A__NTRK1	0.5000
ACVR2A__NTRK2	0.5000
ACVR2A__NTRK3	0.5000
ACVR2A__PDGFRA	0.0000
ACVR2A__PDGFRB	0.0000
ACVR2A__MET	1.0000
ACVR2A__KIT	0.5000
ACVR2A__FLT1	0.5000
ACVR2A__KDR	0.5000
ACVR2A__RET	0.5000
ACVR2A__LEPR	0.5000
ACVR2A__GHR	1.0000
ACVR2A__AXL	0.5000
ACVR2A__MERTK	0.5000
ACVR2A__CSF1R	0.5000
ACVR2A__IL6ST	0.5000
ACVR2A__IL2RG	0.5000
ACVR2A__OSMR	0.5000
ACVR2A__LIFR	0.5000
ACVR2A__IL6R	0.5000
ACVR2A__IFNAR1	0.5000
ACVR2A__IFNAR2	0.5000
ACVR2A__TNFRSF1A	0.5000
ACVR2A__TNFRSF1B	0.5000
ACVR2A__DDR1	0.0000
ACVR2A__DDR2	0.0000
ACVR2A__ITGA7	1.0000
ACVR2A__ITGB1	0.5000
ACVR2A__ITGAV	0.0000
ACVR2A__PLAUR	0.0000
ACVR2A__CD44	0.5000
ACVR2A__NOTCH1	1.0000
ACVR2A__NOTCH2	1.0000
ACVR2A__ROBO1	0.5000
ACVR2A__ITGA1	0.5000
ACVR2A__ITGA6	0.5000
ACVR2A__CXCR4	0.5000
ACVR2A__CD36	1.0000
ACVR2B__TGFBR1	0.0000
ACVR2B__TGFBR2	0.0000
ACVR2B__TGFBR3	0.0000
ACVR2B__EGFR	0.5000
ACVR2B__ERBB2	1.0000
ACVR2B__ERBB3	0.5000
ACVR2B__ERBB4	0.5000
ACVR2B__FGFR1	1.0000
ACVR2B__FGFR2	1.0000
ACVR2B__FGFR3	0.5000
ACVR2B__FGFR4	1.0000
ACVR2B__IGF1R	1.0000
ACVR2B__IGF2R	0.5000
ACVR2B__INSR	1.0000
ACVR2B__NTRK1	0.5000
ACVR2B__NTRK2	0.5000
ACVR2B__NTRK3	0.5000
ACVR2B__PDGFRA	0.0000
ACVR2B__PDGFRB	0.0000
ACVR2B__MET	1.0000
ACVR2B__KIT	0.5000
ACVR2B__FLT1	0.5000
ACVR2B__KDR	0.5000
ACVR2B__RET	0.5000
ACVR2B__LEPR	0.5000
ACVR2B__GHR	1.0000
ACVR2B__AXL	0.5000
ACVR2B__MERTK	0.5000
ACVR2B__CSF1R	0.5000
ACVR2B__IL6ST	0.5000
ACVR2B__IL2RG	0.5000
ACVR2B__OSMR	0.5000
ACVR2B__LIFR	0.5000
ACVR2B__IL6R	0.5000
ACVR2B__IFNAR1	0.5000
ACVR2B__IFNAR2	0.5000
ACVR2B__TNFRSF1A	0.5000
ACVR2B__TNFRSF1B	0.5000
ACVR2B__DDR1	0.0000
ACVR2B__DDR2	0.0000
ACVR2B__ITGA7	1.0000
ACVR2B__ITGB1	0.5000
ACVR2B__ITGAV	0.0000
ACVR2B__PLAUR	0.0000
ACVR2B__CD44	0.5000
ACVR2B__NOTCH1	1.0000
ACVR2B__NOTCH2	1.0000
ACVR2B__ROBO1	0.5000
ACVR2B__ITGA1	0.5000
ACVR2B__ITGA6	0.5000
ACVR2B__CXCR4	0.5000
ACVR2B__CD36	1.0000
TGFBR1__TGFBR2	-1.0000
TGFBR1__TGFBR3	-1.0000
EGFR__TGFBR1	-0.5000
ERBB2__TGFBR1	0.0000
ERBB3__TGFBR1	-0.5000
ERBB4__TGFBR1	-0.5000
FGFR1__TGFBR1	0.0000
FGFR2__TGFBR1	0.0000
FGFR3__TGFBR1	-0.5000
FGFR4__TGFBR1	0.0000
IGF1R__TGFBR1	0.0000
IGF2R__TGFBR1	-0.5000
INSR__TGFBR1	0.0000
NTRK1__TGFBR1	-0.5000
NTRK2__TGFBR1	-0.5000
NTRK3__TGFBR1	-0.5000
PDGFRA__TGFBR1	-1.0000
PDGFRB__TGFBR1	-1.0000
MET__TGFBR1	0.0000
KIT__TGFBR1	-0.5000
FLT1__TGFBR1	-0.5000
KDR__TGFBR1	-0.5000
RET__TGFBR1	-0.5000
LEPR__TGFBR1	-0.5000
GHR__TGFBR1	0.0000
AXL__TGFBR1	-0.5000
MERTK__TGFBR1	-0.5000
CSF1R__TGFBR1	-0.5000
IL6ST__TGFBR1	-0.5000
IL2RG__TGFBR1	-0.5000
OSMR__TGFBR1	-0.5000
LIFR__TGFBR1	-0.5000
IL6R__TGFBR1	-0.5000
IFNAR1__TGFBR1	-0.5000
IFNAR2__TGFBR1	-0.5000
TGFBR1__TNFRSF1A	-0.5000
TGFBR1__TNFRSF1B	-0.5000
DDR1__TGFBR1	-1.0000
DDR2__TGFBR1	-1.0000
ITGA7__TGFBR1	0.0000
ITGB1__TGFBR1	-0.5000
ITGAV__TGFBR1	-1.0000
PLAUR__TGFBR1	-1.0000
CD44__TGFBR1	-0.5000
NOTCH1__TGFBR1	0.0000
NOTCH2__TGFBR1	0.0000
ROBO1__TGFBR1	-0.5000
ITGA1__TGFBR1	-0.5000
ITGA6__TGFBR1	-0.5000
CXCR4__TGFBR1	-0.5000
CD36__TGFBR1	0.0000
TGFBR2__TGFBR3	-1.0000
EGFR__TGFBR2	-0.5000
ERBB2__TGFBR2	0.0000
ERBB3__TGFBR2	-0.5000
ERBB4__TGFBR2	-0.5000
FGFR1__TGFBR2	0.0000
FGFR2__TGFBR2	0.0000
FGFR3__TGFBR2	-0.5000
FGFR4__TGFBR2	0.0000
IGF1R__TGFBR2	0.0000
IGF2R__TGFBR2	-0.5000
INSR__TGFBR2	0.0000
NTRK1__TGFBR2	-0.5000
NTRK2__TGFBR2	-0.5000
NTRK3__TGFBR2	-0.5000
PDGFRA__TGFBR2	-1.0000
PDGFRB__TGFBR2	-1.0000
MET__TGFBR2	0.0000
KIT__TGFBR2	-0.5000
FLT1__TGFBR2	-0.5000
KDR__TGFBR2	-0.5000
RET__TGFBR2	-0.5000
LEPR__TGFBR2	-0.5000
GHR__TGFBR2	0.0000
AXL__TGFBR2	-0.5000
MERTK__TGFBR2	-0.5000
CSF1R__TGFBR2	-0.5000
IL6ST__TGFBR2	-0.5000
IL2RG__TGFBR2	-0.5000
OSMR__TGFBR2	-0.5000
LIFR__TGFBR2	-0.5000
IL6R__TGFBR2	-0.5000
IFNAR1__TGFBR2	-0.5000
IFNAR2__TGFBR2	-0.5000
TGFBR2__TNFRSF1A	-0.5000
TGFBR2__TNFRSF1B	-0.5000
DDR1__TGFBR2	-1.0000
DDR2__TGFBR2	-1.0000
ITGA7__TGFBR2	0.0000
ITGB1__TGFBR2	-0.5000
ITGAV__TGFBR2	-1.0000
PLAUR__TGFBR2	-1.0000
CD44__TGFBR2	-0.5000
NOTCH1__TGFBR2	0.0000
NOTCH2__TGFBR2	0.0000
ROBO1__TGFBR2	-0.5000
ITGA1__TGFBR2	-0.5000
ITGA6__TGFBR2	-0.5000
CXCR4__TGFBR2	-0.5000
CD36__TGFBR2	0.0000
EGFR__TGFBR3	-0.5000
ERBB2__TGFBR3	0.0000
ERBB3__TGFBR3	-0.5000
ERBB4__TGFBR3	-0.5000
FGFR1__TGFBR3	0.0000
FGFR2__TGFBR3	0.0000
FGFR3__TGFBR3	-0.5000
FGFR4__TGFBR3	0.0000
IGF1R__TGFBR3	0.0000
IGF2R__TGFBR3	-0.5000
INSR__TGFBR3	0.0000
NTRK1__TGFBR3	-0.5000
NTRK2__TGFBR3	-0.5000
NTRK3__TGFBR3	-0.5000
PDGFRA__TGFBR3	-1.0000
PDGFRB__TGFBR3	-1.0000
MET__TGFBR3	0.0000
KIT__TGFBR3	-0.5000
FLT1__TGFBR3	-0.5000
KDR__TGFBR3	-0.5000
RET__TGFBR3	-0.5000
LEPR__TGFBR3	-0.5000
GHR__TGFBR3	0.0000
AXL__TGFBR3	-0.5000
MERTK__TGFBR3	-0.5000
CSF1R__TGFBR3	-0.5000
IL6ST__TGFBR3	-0.5000
IL2RG__TGFBR3	-0.5000
OSMR__TGFBR3	-0.5000
LIFR__TGFBR3	-0.5000
IL6R__TGFBR3	-0.5000
IFNAR1__TGFBR3	-0.5000
IFNAR2__TGFBR3	-0.5000
TGFBR3__TNFRSF1A	-0.5000
TGFBR3__TNFRSF1B	-0.5000
DDR1__TGFBR3	-1.0000
DDR2__TGFBR3	-1.0000
ITGA7__TGFBR3	0.0000
ITGB1__TGFBR3	-0.5000
ITGAV__TGFBR3	-1.0000
PLAUR__TGFBR3	-1.0000
CD44__TGFBR3	-0.5000
NOTCH1__TGFBR3	0.0000
NOTCH2__TGFBR3	0.0000
ROBO1__TGFBR3	-0.5000
ITGA1__TGFBR3	-0.5000
ITGA6__TGFBR3	-0.5000
CXCR4__TGFBR3	-0.5000
CD36__TGFBR3	0.0000
EGFR__ERBB2	0.5000
EGFR__ERBB3	0.0000
EGFR__ERBB4	0.0000
EGFR__FGFR1	0.5000
EGFR__FGFR2	0.5000
EGFR__FGFR3	0.0000
EGFR__FGFR4	0.5000
EGFR__IGF1R	0.5000
EGFR__IGF2R	0.0000
EGFR__INSR	0.5000
EGFR__NTRK1	0.0000
EGFR__NTRK2	0.0000
EGFR__NTRK3	0.0000
EGFR__PDGFRA	-0.5000
EGFR__PDGFRB	-0.5000
EGFR__MET	0.5000
EGFR__KIT	0.0000
EGFR__FLT1	0.0000
EGFR__KDR	0.0000
EGFR__RET	0.0000
EGFR__LEPR	0.0000
EGFR__GHR	0.5000
AXL__EGFR	0.0000
EGFR__MERTK	0.0000
CSF1R__EGFR	0.0000
EGFR__IL6ST	0.0000
EGFR__IL2RG	0.0000
EGFR__OSMR	0.0000
EGFR__LIFR	0.0000
EGFR__IL6R	0.0000
EGFR__IFNAR1	0.0000
EGFR__IFNAR2	0.0000
EGFR__TNFRSF1A	0.0000
EGFR__TNFRSF1B	0.0000
DDR1__EGFR	-0.5000
DDR2__EGFR	-0.5000
EGFR__ITGA7	0.5000
EGFR__ITGB1	0.0000
EGFR__ITGAV	-0.5000
EGFR__PLAUR	-0.5000
CD44__EGFR	0.0000
EGFR__NOTCH1	0.5000
EGFR__NOTCH2	0.5000
EGFR__ROBO1	0.0000
EGFR__ITGA1	0.0000
EGFR__ITGA6	0.0000
CXCR4__EGFR	0.0000
CD36__EGFR	0.5000
ERBB2__ERBB3	0.5000
ERBB2__ERBB4	0.5000
ERBB2__FGFR1	1.0000
ERBB2__FGFR2	1.0000
ERBB2__FGFR3	0.5000
ERBB2__FGFR4	1.0000
ERBB2__IGF1R	1.0000
ERBB2__IGF2R	0.5000
ERBB2__INSR	1.0000
ERBB2__NTRK1	0.5000
ERBB2__NTRK2	0.5000
ERBB2__NTRK3	0.5000
ERBB2__PDGFRA	0.0000
ERBB2__PDGFRB	0.0000
ERBB2__MET	1.0000
ERBB2__KIT	0.5000
ERBB2__FLT1	0.5000
ERBB2__KDR	0.5000
ERBB2__RET	0.5000
ERBB2__LEPR	0.5000
ERBB2__GHR	1.0000
AXL__ERBB2	0.5000
ERBB2__MERTK	0.5000
CSF1R__ERBB2	0.5000
ERBB2__IL6ST	0.5000
ERBB2__IL2RG	0.5000
ERBB2__OSMR	0.5000
ERBB2__LIFR	0.5000
ERBB2__IL6R	0.5000
ERBB2__IFNAR1	0.5000
ERBB2__IFNAR2	0.5000
ERBB2__TNFRSF1A	0.5000
ERBB2__TNFRSF1B	0.5000
DDR1__ERBB2	0.0000
DDR2__ERBB2	0.0000
ERBB2__ITGA7	1.0000
ERBB2__ITGB1	0.5000
ERBB2__ITGAV	0.0000
ERBB2__PLAUR	0.0000
CD44__ERBB2	0.5000
ERBB2__NOTCH1	1.0000
ERBB2__NOTCH2	1.0000
ERBB2__ROBO1	0.5000
ERBB2__ITGA1	0.5000
ERBB2__ITGA6	0.5000
CXCR4__ERBB2	0.5000
CD36__ERBB2	1.0000
ERBB3__ERBB4	0.0000
ERBB3__FGFR1	0.5000
ERBB3__FGFR2	0.5000
ERBB3__FGFR3	0.0000
ERBB3__FGFR4	0.5000
ERBB3__IGF1R	0.5000
ERBB3__IGF2R	0.0000
ERBB3__INSR	0.5000
ERBB3__NTRK1	0.0000
ERBB3__NTRK2	0.0000
ERBB3__NTRK3	0.0000
ERBB3__PDGFRA	-0.5000
ERBB3__PDGFRB	-0.5000
ERBB3__MET	0.5000
ERBB3__KIT	0.0000
ERBB3__FLT1	0.0000
ERBB3__KDR	0.0000
ERBB3__RET	0.0000
ERBB3__LEPR	0.0000
ERBB3__GHR	0.5000
AXL__ERBB3	0.0000
ERBB3__MERTK	0.0000
CSF1R__ERBB3	0.0000
ERBB3__IL6ST	0.0000
ERBB3__IL2RG	0.0000
ERBB3__OSMR	0.0000
ERBB3__LIFR	0.0000
ERBB3__IL6R	0.0000
ERBB3__IFNAR1	0.0000
ERBB3__IFNAR2	0.0000
ERBB3__TNFRSF1A	0.0000
ERBB3__TNFRSF1B	0.0000
DDR1__ERBB3	-0.5000
DDR2__ERBB3	-0.5000
ERBB3__ITGA7	0.5000
ERBB3__ITGB1	0.0000
ERBB3__ITGAV	-0.5000
ERBB3__PLAUR	-0.5000
CD44__ERBB3	0.0000
ERBB3__NOTCH1	0.5000
ERBB3__NOTCH2	0.5000
ERBB3__ROBO1	0.0000
ERBB3__ITGA1	0.0000
ERBB3__ITGA6	0.0000
CXCR4__ERBB3	0.0000
CD36__ERBB3	0.5000
ERBB4__FGFR1	0.5000
ERBB4__FGFR2	0.5000
ERBB4__FGFR3	0.0000
ERBB4__FGFR4	0.5000
ERBB4__IGF1R	0.5000
ERBB4__IGF2R	0.0000
ERBB4__INSR	0.5000
ERBB4__NTRK1	0.0000
ERBB4__NTRK2	0.0000
ERBB4__NTRK3	0.0000
ERBB4__PDGFRA	-0.5000
ERBB4__PDGFRB	-0.5000
ERBB4__MET	0.5000
ERBB4__KIT	0.0000
ERBB4__FLT1	0.0000
ERBB4__KDR	0.0000
ERBB4__RET	0.0000
ERBB4__LEPR	0.0000
ERBB4__GHR	0.5000
AXL__ERBB4	0.0000
ERBB4__MERTK	0.0000
CSF1R__ERBB4	0.0000
ERBB4__IL6ST	0.0000
ERBB4__IL2RG	0.0000
ERBB4__OSMR	0.0000
ERBB4__LIFR	0.0000
ERBB4__IL6R	0.0000
ERBB4__IFNAR1	0.0000
ERBB4__IFNAR2	0.0000
ERBB4__TNFRSF1A	0.0000
ERBB4__TNFRSF1B	0.0000
DDR1__ERBB4	-0.5000
DDR2__ERBB4	-0.5000
ERBB4__ITGA7	0.5000
ERBB4__ITGB1	0.0000
ERBB4__ITGAV	-0.5000
ERBB4__PLAUR	-0.5000
CD44__ERBB4	0.0000
ERBB4__NOTCH1	0.5000
ERBB4__NOTCH2	0.5000
ERBB4__ROBO1	0.0000
ERBB4__ITGA1	0.0000
ERBB4__ITGA6	0.0000
CXCR4__ERBB4	0.0000
CD36__ERBB4	0.5000
FGFR1__FGFR2	1.0000
FGFR1__FGFR3	0.5000
FGFR1__FGFR4	1.0000
FGFR1__IGF1R	1.0000
FGFR1__IGF2R	0.5000
FGFR1__INSR	1.0000
FGFR1__NTRK1	0.5000
FGFR1__NTRK2	0.5000
FGFR1__NTRK3	0.5000
FGFR1__PDGFRA	0.0000
FGFR1__PDGFRB	0.0000
FGFR1__MET	1.0000
FGFR1__KIT	0.5000
FGFR1__FLT1	0.5000
FGFR1__KDR	0.5000
FGFR1__RET	0.5000
FGFR1__LEPR	0.5000
FGFR1__GHR	1.0000
AXL__FGFR1	0.5000
FGFR1__MERTK	0.5000
CSF1R__FGFR1	0.5000
FGFR1__IL6ST	0.5000
FGFR1__IL2RG	0.5000
FGFR1__OSMR	0.5000
FGFR1__LIFR	0.5000
FGFR1__IL6R	0.5000
FGFR1__IFNAR1	0.5000
FGFR1__IFNAR2	0.5000
FGFR1__TNFRSF1A	0.5000
FGFR1__TNFRSF1B	0.5000
DDR1__FGFR1	0.0000
DDR2__FGFR1	0.0000
FGFR1__ITGA7	1.0000
FGFR1__ITGB1	0.5000
FGFR1__ITGAV	0.0000
FGFR1__PLAUR	0.0000
CD44__FGFR1	0.5000
FGFR1__NOTCH1	1.0000
FGFR1__NOTCH2	1.0000
FGFR1__ROBO1	0.5000
FGFR1__ITGA1	0.5000
FGFR1__ITGA6	0.5000
CXCR4__FGFR1	0.5000
CD36__FGFR1	1.0000
FGFR2__FGFR3	0.5000
FGFR2__FGFR4	1.0000
FGFR2__IGF1R	1.0000
FGFR2__IGF2R	0.5000
FGFR2__INSR	1.0000
FGFR2__NTRK1	0.5000
FGFR2__NTRK2	0.5000
FGFR2__NTRK3	0.5000
FGFR2__PDGFRA	0.0000
FGFR2__PDGFRB	0.0000
FGFR2__MET	1.0000
FGFR2__KIT	0.5000
FGFR2__FLT1	0.5000
FGFR2__KDR	0.5000
FGFR2__RET	0.5000
FGFR2__LEPR	0.5000
FGFR2__GHR	1.0000
AXL__FGFR2	0.5000
FGFR2__MERTK	0.5000
CSF1R__FGFR2	0.5000
FGFR2__IL6ST	0.5000
FGFR2__IL2RG	0.5000
FGFR2__OSMR	0.5000
FGFR2__LIFR	0.5000
FGFR2__IL6R	0.5000
FGFR2__IFNAR1	0.5000
FGFR2__IFNAR2	0.5000
FGFR2__TNFRSF1A	0.5000
FGFR2__TNFRSF1B	0.5000
DDR1__FGFR2	0.0000
DDR2__FGFR2	0.0000
FGFR2__ITGA7	1.0000
FGFR2__ITGB1	0.5000
FGFR2__ITGAV	0.0000
FGFR2__PLAUR	0.0000
CD44__FGFR2	0.5000
