rank	candidate_id	receptor_A	receptor_B	linker	biased_pathways	chain_soundness	track_a	track_b	composite_reward	tier	verdict	notes
13	FGFR2_INSR__GS_med	FGFR2	INSR	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
14	FGFR2_MET__GS_med	FGFR2	MET	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_med (20 aa, flexible).
15	FGFR4_IGF1R__GS_med	FGFR4	IGF1R	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
16	FGFR4_INSR__GS_med	FGFR4	INSR	GS_med	MAPK,AKT,mTOR	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
17	FGFR4_MET__GS_med	FGFR4	MET	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_med (20 aa, flexible).
18	MET_PDGFRA__GS_med	MET	PDGFRA	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
19	MET_PDGFRB__GS_med	MET	PDGFRB	GS_med	MAPK,AKT,STAT3	0.900	+1.0000	0.900	+0.9625	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: GS_med (20 aa, flexible).
20	ERBB2_FGFR1__GS_long	ERBB2	FGFR1	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
21	ERBB2_FGFR2__GS_long	ERBB2	FGFR2	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
22	ERBB2_FGFR4__GS_long	ERBB2	FGFR4	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
23	ERBB2_MET__GS_long	ERBB2	MET	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_long (40 aa, flexible).
24	EGFR_FGFR1__GS_long	EGFR	FGFR1	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
25	EGFR_FGFR2__GS_long	EGFR	FGFR2	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
26	EGFR_FGFR4__GS_long	EGFR	FGFR4	GS_long	MAPK,AKT	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
27	EGFR_MET__GS_long	EGFR	MET	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_long (40 aa, flexible).
28	FGFR1_IGF1R__GS_long	FGFR1	IGF1R	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
29	FGFR1_INSR__GS_long	FGFR1	INSR	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
30	FGFR1_MET__GS_long	FGFR1	MET	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_long (40 aa, flexible).
31	FGFR2_IGF1R__GS_long	FGFR2	IGF1R	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
32	FGFR2_INSR__GS_long	FGFR2	INSR	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
33	FGFR2_MET__GS_long	FGFR2	MET	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_long (40 aa, flexible).
34	FGFR4_IGF1R__GS_long	FGFR4	IGF1R	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
35	FGFR4_INSR__GS_long	FGFR4	INSR	GS_long	MAPK,AKT,mTOR	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_long (40 aa, flexible).
36	FGFR4_MET__GS_long	FGFR4	MET	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_long (40 aa, flexible).
37	MET_PDGFRA__GS_long	MET	PDGFRA	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
38	MET_PDGFRB__GS_long	MET	PDGFRB	GS_long	MAPK,AKT,STAT3	0.900	+0.9722	0.900	+0.9451	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: GS_long (40 aa, flexible).
39	ERBB2_FGFR1__XTEN_36	ERBB2	FGFR1	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
40	ERBB2_FGFR2__XTEN_36	ERBB2	FGFR2	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
41	ERBB2_FGFR4__XTEN_36	ERBB2	FGFR4	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
42	ERBB2_MET__XTEN_36	ERBB2	MET	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
43	EGFR_FGFR1__XTEN_36	EGFR	FGFR1	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
44	EGFR_FGFR2__XTEN_36	EGFR	FGFR2	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
45	EGFR_FGFR4__XTEN_36	EGFR	FGFR4	XTEN_36	MAPK,AKT	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
46	EGFR_MET__XTEN_36	EGFR	MET	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
47	FGFR1_IGF1R__XTEN_36	FGFR1	IGF1R	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
48	FGFR1_INSR__XTEN_36	FGFR1	INSR	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
49	FGFR1_MET__XTEN_36	FGFR1	MET	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
50	FGFR2_IGF1R__XTEN_36	FGFR2	IGF1R	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
51	FGFR2_INSR__XTEN_36	FGFR2	INSR	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
52	FGFR2_MET__XTEN_36	FGFR2	MET	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
53	FGFR4_IGF1R__XTEN_36	FGFR4	IGF1R	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
54	FGFR4_INSR__XTEN_36	FGFR4	INSR	XTEN_36	MAPK,AKT,mTOR	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
55	FGFR4_MET__XTEN_36	FGFR4	MET	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
56	MET_PDGFRA__XTEN_36	MET	PDGFRA	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
57	MET_PDGFRB__XTEN_36	MET	PDGFRB	XTEN_36	MAPK,AKT,STAT3	0.850	+1.0000	0.850	+0.9437	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (MET, PDGFR); axis: myogenic; linker: XTEN_36 (36 aa, unstructured).
58	ERBB2_FGFR1__GS_short	ERBB2	FGFR1	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
59	ERBB2_FGFR1__EAAAK_x4	ERBB2	FGFR1	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
60	ERBB2_FGFR2__GS_short	ERBB2	FGFR2	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
61	ERBB2_FGFR2__EAAAK_x4	ERBB2	FGFR2	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
62	ERBB2_FGFR4__GS_short	ERBB2	FGFR4	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
63	ERBB2_FGFR4__EAAAK_x4	ERBB2	FGFR4	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
64	ERBB2_IGF1R__GS_med	ERBB2	IGF1R	GS_med	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
65	ERBB2_INSR__GS_med	ERBB2	INSR	GS_med	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
66	ERBB2_MET__GS_short	ERBB2	MET	GS_short	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_short (10 aa, flexible).
67	ERBB2_MET__EAAAK_x4	ERBB2	MET	EAAAK_x4	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
68	EGFR_FGFR1__GS_short	EGFR	FGFR1	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
69	EGFR_FGFR1__EAAAK_x4	EGFR	FGFR1	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
70	EGFR_FGFR2__GS_short	EGFR	FGFR2	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
71	EGFR_FGFR2__EAAAK_x4	EGFR	FGFR2	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
72	EGFR_FGFR4__GS_short	EGFR	FGFR4	GS_short	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: GS_short (10 aa, flexible).
73	EGFR_FGFR4__EAAAK_x4	EGFR	FGFR4	EAAAK_x4	MAPK,AKT	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, FGFR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
74	EGFR_IGF1R__GS_med	EGFR	IGF1R	GS_med	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
75	EGFR_INSR__GS_med	EGFR	INSR	GS_med	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, INSR); axis: myogenic; linker: GS_med (20 aa, flexible).
76	EGFR_MET__GS_short	EGFR	MET	GS_short	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: GS_short (10 aa, flexible).
77	EGFR_MET__EAAAK_x4	EGFR	MET	EAAAK_x4	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (ErbB, MET); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
78	FGFR1_IGF1R__GS_short	FGFR1	IGF1R	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
79	FGFR1_IGF1R__EAAAK_x4	FGFR1	IGF1R	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
80	FGFR1_INSR__GS_short	FGFR1	INSR	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
81	FGFR1_INSR__EAAAK_x4	FGFR1	INSR	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
82	FGFR1_MET__GS_short	FGFR1	MET	GS_short	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_short (10 aa, flexible).
83	FGFR1_MET__EAAAK_x4	FGFR1	MET	EAAAK_x4	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
84	FGFR2_IGF1R__GS_short	FGFR2	IGF1R	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
85	FGFR2_IGF1R__EAAAK_x4	FGFR2	IGF1R	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
86	FGFR2_INSR__GS_short	FGFR2	INSR	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
87	FGFR2_INSR__EAAAK_x4	FGFR2	INSR	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
88	FGFR2_MET__GS_short	FGFR2	MET	GS_short	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_short (10 aa, flexible).
89	FGFR2_MET__EAAAK_x4	FGFR2	MET	EAAAK_x4	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
90	FGFR4_IGF1R__GS_short	FGFR4	IGF1R	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
91	FGFR4_IGF1R__EAAAK_x4	FGFR4	IGF1R	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
92	FGFR4_INSR__GS_short	FGFR4	INSR	GS_short	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: GS_short (10 aa, flexible).
93	FGFR4_INSR__EAAAK_x4	FGFR4	INSR	EAAAK_x4	MAPK,AKT,mTOR	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, INSR); axis: myogenic; linker: EAAAK_x4 (22 aa, rigid).
94	FGFR4_MET__GS_short	FGFR4	MET	GS_short	MAPK,AKT,STAT3	0.800	+1.0000	0.800	+0.9250	TOP_K_DESIGN	REJUVENATING	Heuristic candidate from generate_candidates.py — class pair: (FGFR, MET); axis: myogenic; linker: GS_short (10 aa, flexible).
